bray_curtis_binary	Meth_Acq001	Meth_Acq002	Meth_Acq003	Meth_Acq004	Meth_Acq005	Meth_Ext001	Meth_Ext002	Meth_Ext003	Meth_Ext004	Meth_Ext005	Meth_Pre001	Meth_Pre002	Meth_Pre003	Meth_Pre004	Meth_Pre005	Meth_Rein001	Meth_Rein002	Meth_Rein003	Meth_Rein004	Meth_Rein005	Sal_Acq001	Sal_Acq002	Sal_Acq003	Sal_Acq004	Sal_Acq005	Sal_Ext001	Sal_Ext002	Sal_Ext003	Sal_Ext004	Sal_Ext005	Sal_Pre001	Sal_Pre002	Sal_Pre003	Sal_Pre004	Sal_Pre005	Sal_Rein001	Sal_Rein002	Sal_Rein003	Sal_Rein004	Sal_Rein005
Meth_Acq001	0	0.0418	0.041	0.0403	0.0382	0.0408	0.0403	0.0613	0.0536	0.051	0.0492	0.0491	0.0571	0.0535	0.0504	0.0401	0.0403	0.0564	0.0432	0.0436	0.0523	0.0521	0.0457	0.055	0.055	0.0486	0.0497	0.0452	0.0541	0.0654	0.0455	0.0462	0.0451	0.0571	0.0435	0.0412	0.0514	0.0634	0.0494	0.0515
Meth_Acq002	0.0418	0	0.0444	0.0431	0.0409	0.0473	0.0418	0.0649	0.059	0.0564	0.0505	0.0473	0.0564	0.0561	0.051	0.0434	0.0417	0.0586	0.0496	0.0463	0.0559	0.056	0.0479	0.0563	0.0572	0.0515	0.0542	0.0465	0.0551	0.0667	0.0482	0.0495	0.0453	0.0588	0.0476	0.0444	0.0548	0.066	0.0525	0.0541
Meth_Acq003	0.041	0.0444	0	0.0364	0.0326	0.0439	0.041	0.0586	0.0527	0.0503	0.0504	0.0505	0.0531	0.049	0.0461	0.0426	0.0408	0.0528	0.044	0.045	0.0537	0.0508	0.0452	0.0559	0.0556	0.0484	0.0516	0.0454	0.0537	0.063	0.0478	0.0478	0.0444	0.0571	0.0447	0.0424	0.049	0.0627	0.046	0.0497
Meth_Acq004	0.0403	0.0431	0.0364	0	0.0312	0.0443	0.0418	0.0637	0.0569	0.0528	0.0525	0.0503	0.0552	0.0551	0.0497	0.0396	0.0438	0.0591	0.0459	0.0451	0.0555	0.0542	0.0464	0.0561	0.0598	0.046	0.0495	0.0458	0.0571	0.0686	0.0455	0.0492	0.0455	0.0599	0.0462	0.0419	0.0526	0.0671	0.0505	0.0549
Meth_Acq005	0.0382	0.0409	0.0326	0.0312	0	0.0433	0.0401	0.06	0.0529	0.0509	0.0528	0.0504	0.0542	0.0527	0.0482	0.0377	0.0411	0.0559	0.0443	0.0439	0.0559	0.0533	0.0452	0.057	0.0572	0.0455	0.0494	0.0455	0.0557	0.066	0.0468	0.0498	0.0434	0.0575	0.0448	0.0418	0.051	0.0657	0.0505	0.0507
Meth_Ext001	0.0408	0.0473	0.0439	0.0443	0.0433	0	0.0371	0.0568	0.0481	0.0464	0.049	0.0487	0.0519	0.0503	0.0481	0.0355	0.0394	0.051	0.0403	0.0423	0.0477	0.0506	0.0451	0.0511	0.0507	0.0513	0.0519	0.0471	0.049	0.0572	0.0458	0.0465	0.0452	0.0495	0.0434	0.041	0.0475	0.0579	0.0476	0.0441
Meth_Ext002	0.0403	0.0418	0.041	0.0418	0.0401	0.0371	0	0.0586	0.0504	0.0489	0.0504	0.0485	0.0517	0.0505	0.0463	0.04	0.0345	0.054	0.0429	0.0434	0.051	0.0494	0.0432	0.0545	0.0547	0.0503	0.0533	0.0427	0.0512	0.0603	0.048	0.0473	0.0458	0.0541	0.0433	0.0414	0.0478	0.0575	0.0466	0.0487
Meth_Ext003	0.0613	0.0649	0.0586	0.0637	0.06	0.0568	0.0586	0	0.0512	0.0505	0.0637	0.0595	0.0598	0.0605	0.0579	0.0624	0.0579	0.0476	0.0523	0.057	0.0578	0.0615	0.0583	0.0585	0.0562	0.0679	0.0716	0.0577	0.057	0.0628	0.0572	0.0598	0.0599	0.0546	0.0598	0.0567	0.0561	0.0616	0.056	0.0567
Meth_Ext004	0.0536	0.059	0.0527	0.0569	0.0529	0.0481	0.0504	0.0512	0	0.041	0.0551	0.0575	0.0555	0.0529	0.0523	0.0533	0.0496	0.0474	0.0424	0.0487	0.0522	0.056	0.0507	0.0548	0.0513	0.0597	0.0625	0.0527	0.0528	0.0547	0.0509	0.0546	0.0541	0.0514	0.0499	0.0483	0.047	0.0546	0.0496	0.0477
Meth_Ext005	0.051	0.0564	0.0503	0.0528	0.0509	0.0464	0.0489	0.0505	0.041	0	0.0543	0.0569	0.0541	0.0514	0.0506	0.0522	0.0486	0.049	0.0411	0.0481	0.0493	0.0546	0.0497	0.0551	0.0538	0.0582	0.0604	0.0507	0.0508	0.0556	0.0481	0.053	0.0513	0.0521	0.0487	0.047	0.0499	0.0578	0.0499	0.0495
Meth_Pre001	0.0492	0.0505	0.0504	0.0525	0.0528	0.049	0.0504	0.0637	0.0551	0.0543	0	0.0435	0.0524	0.0486	0.0495	0.0539	0.0506	0.0584	0.0509	0.0519	0.0526	0.0505	0.0504	0.0566	0.0577	0.0594	0.0644	0.0551	0.0536	0.0638	0.0455	0.0482	0.0442	0.0546	0.0518	0.05	0.0526	0.0633	0.0541	0.0561
Meth_Pre002	0.0491	0.0473	0.0505	0.0503	0.0504	0.0487	0.0485	0.0595	0.0575	0.0569	0.0435	0	0.0535	0.052	0.0504	0.0499	0.0482	0.0557	0.051	0.0512	0.0523	0.0499	0.0505	0.0522	0.0577	0.0566	0.0636	0.0491	0.0542	0.0621	0.0463	0.0469	0.0452	0.0552	0.0535	0.0496	0.0536	0.0602	0.0534	0.0563
Meth_Pre003	0.0571	0.0564	0.0531	0.0552	0.0542	0.0519	0.0517	0.0598	0.0555	0.0541	0.0524	0.0535	0	0.0457	0.0421	0.0591	0.0518	0.056	0.0518	0.0573	0.0556	0.054	0.0513	0.0585	0.0579	0.0628	0.0695	0.0544	0.0534	0.0578	0.0529	0.0552	0.0525	0.0559	0.055	0.0547	0.0535	0.0571	0.0545	0.0546
Meth_Pre004	0.0535	0.0561	0.049	0.0551	0.0527	0.0503	0.0505	0.0605	0.0529	0.0514	0.0486	0.052	0.0457	0	0.0425	0.0567	0.0516	0.0585	0.0528	0.0545	0.0525	0.0541	0.051	0.0593	0.0585	0.0606	0.0652	0.0529	0.0533	0.0603	0.0519	0.0536	0.0508	0.0564	0.0547	0.0537	0.0539	0.0593	0.0525	0.0539
Meth_Pre005	0.0504	0.051	0.0461	0.0497	0.0482	0.0481	0.0463	0.0579	0.0523	0.0506	0.0495	0.0504	0.0421	0.0425	0	0.0527	0.0479	0.0558	0.0487	0.0526	0.0515	0.0522	0.0502	0.0578	0.0558	0.0544	0.0617	0.0512	0.0508	0.0591	0.0484	0.051	0.0487	0.0557	0.0507	0.0493	0.0493	0.0584	0.0504	0.0522
Meth_Rein001	0.0401	0.0434	0.0426	0.0396	0.0377	0.0355	0.04	0.0624	0.0533	0.0522	0.0539	0.0499	0.0591	0.0567	0.0527	0	0.0405	0.0571	0.0439	0.042	0.0558	0.0531	0.0473	0.0575	0.0573	0.0468	0.0495	0.044	0.0546	0.0655	0.0476	0.0508	0.0472	0.059	0.0467	0.0405	0.0531	0.0653	0.0505	0.0513
Meth_Rein002	0.0403	0.0417	0.0408	0.0438	0.0411	0.0394	0.0345	0.0579	0.0496	0.0486	0.0506	0.0482	0.0518	0.0516	0.0479	0.0405	0	0.0532	0.044	0.0441	0.0528	0.0488	0.0448	0.052	0.0509	0.051	0.0536	0.0437	0.0512	0.0612	0.0485	0.0496	0.0461	0.055	0.0466	0.0435	0.049	0.06	0.0458	0.0513
Meth_Rein003	0.0564	0.0586	0.0528	0.0591	0.0559	0.051	0.054	0.0476	0.0474	0.049	0.0584	0.0557	0.056	0.0585	0.0558	0.0571	0.0532	0	0.0468	0.0512	0.0562	0.0573	0.0538	0.0569	0.0557	0.0656	0.0672	0.0529	0.0529	0.0602	0.0543	0.056	0.0562	0.0551	0.056	0.0514	0.0517	0.0593	0.0529	0.0547
Meth_Rein004	0.0432	0.0496	0.044	0.0459	0.0443	0.0403	0.0429	0.0523	0.0424	0.0411	0.0509	0.051	0.0518	0.0528	0.0487	0.0439	0.044	0.0468	0	0.0422	0.0491	0.0509	0.0452	0.053	0.0514	0.0506	0.0531	0.0465	0.0504	0.0579	0.0468	0.0493	0.0457	0.0515	0.045	0.0434	0.0456	0.0561	0.0474	0.0455
Meth_Rein005	0.0436	0.0463	0.045	0.0451	0.0439	0.0423	0.0434	0.057	0.0487	0.0481	0.0519	0.0512	0.0573	0.0545	0.0526	0.042	0.0441	0.0512	0.0422	0	0.0548	0.0537	0.0474	0.0545	0.0536	0.0492	0.0514	0.0443	0.0521	0.0618	0.0481	0.0478	0.0474	0.0553	0.0461	0.0414	0.047	0.0622	0.0487	0.0499
Sal_Acq001	0.0523	0.0559	0.0537	0.0555	0.0559	0.0477	0.051	0.0578	0.0522	0.0493	0.0526	0.0523	0.0556	0.0525	0.0515	0.0558	0.0528	0.0562	0.0491	0.0548	0	0.0469	0.0472	0.0527	0.0508	0.0616	0.0629	0.0516	0.0499	0.0575	0.0482	0.051	0.0511	0.0549	0.0522	0.0513	0.0502	0.0549	0.0503	0.0491
Sal_Acq002	0.0521	0.056	0.0508	0.0542	0.0533	0.0506	0.0494	0.0615	0.056	0.0546	0.0505	0.0499	0.054	0.0541	0.0522	0.0531	0.0488	0.0573	0.0509	0.0537	0.0469	0	0.0482	0.0542	0.053	0.0585	0.0625	0.0488	0.0488	0.0583	0.0488	0.0493	0.0503	0.0548	0.0505	0.0509	0.0508	0.0547	0.0499	0.053
Sal_Acq003	0.0457	0.0479	0.0452	0.0464	0.0452	0.0451	0.0432	0.0583	0.0507	0.0497	0.0504	0.0505	0.0513	0.051	0.0502	0.0473	0.0448	0.0538	0.0452	0.0474	0.0472	0.0482	0	0.0505	0.0467	0.051	0.0549	0.044	0.0505	0.0553	0.0479	0.0463	0.0456	0.0513	0.0456	0.0437	0.0486	0.0556	0.0472	0.0481
